name,hall_of_fame_class,year_drafted,gp,min,pts,fgm,fga,fg,3p_made,3pa,3p,ftm,fta,ft,oreb,dreb,reb,ast,stl,blk,tov,eff
Dominique Wilkins,2006,1982,82,32.9,17.5,7.3,14.9,49.3,0,0.1,18.2,2.8,4.1,68.2,2.8,3.1,5.8,1.6,1,0.8,2.2,15.6
Ed Nealy,,1982,82,20,4.4,1.8,3,59.5,0,0,0,0.9,1.4,61.4,2.1,3.8,5.9,0.8,0.8,0.1,0.6,9.7
Eddie Phillips,,1982,48,8.7,3.2,1.2,2.9,40.6,0,0,0,0.8,1.2,67.8,0.6,1,1.6,0.6,0.3,0.2,1,2.7
Edmund Sherod,,1982,64,25.4,6.2,2.7,6.6,40.6,0,0.2,7.7,0.8,1.3,65,0.7,1.7,2.3,4.9,1.5,0.2,1.6,9.1
James Worthy,2003,1982,77,25.6,13.4,5.8,10,57.9,0,0.1,25,1.8,2.9,62.4,2,3.1,5.2,1.7,1.2,0.8,2.3,14.7
Jerry Eaves,,1982,82,19.4,9.3,3.4,7,48.7,0,0.1,12.5,2.4,3,81,0.4,1.1,1.5,2.6,0.6,0,1.9,8
Jim Johnstone,,1982,23,8.3,1.3,0.5,1.3,36.7,0,0,0,0.4,0.9,45,0.7,1.3,2,0.5,0.1,0.3,0.7,2.3
John Bagley,,1982,68,14.6,5.7,2.4,5.5,43.2,0,0.2,0,0.9,1.2,76.2,0.3,1.2,1.4,2.5,0.8,0.1,1.7,5.3
Jose Slaughter,,1982,63,8.2,3.6,1.4,3.8,37.4,0.1,0.7,22,0.6,0.9,64.4,0.5,0.5,1.1,0.8,0.6,0.1,0.7,2.8
Lafayette Lever,,1982,81,24.9,7.8,3.2,7.3,43.1,0.1,0.2,33.3,1.4,2,73,1,1.7,2.8,5.3,1.9,0.2,1.7,11.5
LaSalle Thompson,,1982,71,13.9,5.4,2.1,4,51.2,0,0,0,1.3,1.9,65,1.9,3.4,5.3,0.5,0.6,0.9,1.4,8.6
Lester Conner,,1982,75,18.9,4.9,1.9,4,47.9,0,0.1,0,1.1,1.5,69.9,0.9,2,2.9,3.4,1.6,0.1,1.3,9
Linton Townes,,1982,55,9.4,4.5,1.9,4.3,44.9,0.2,0.5,36,0.5,0.7,73.7,0.5,0.6,1.2,0.6,0.3,0.1,0.6,3.5
Marc Iavaroni,,1982,80,20.2,5.1,2,4.4,46.2,0,0,0,1,1.4,69,1.5,2.7,4.1,1,0.4,0.6,1.7,6.7
