"playerID","year","stint","tmID","lgID","GP","GS","minutes","points","oRebounds","dRebounds","rebounds","assists","steals","blocks","turnovers","PF","fgAttempted","fgMade","ftAttempted","ftMade","threeAttempted","threeMade","PostGP","PostGS","PostMinutes","PostPoints","PostoRebounds","PostdRebounds","PostRebounds","PostAssists","PostSteals","PostBlocks","PostTurnovers","PostPF","PostfgAttempted","PostfgMade","PostftAttempted","PostftMade","PostthreeAttempted","PostthreeMade","note"
"dialde01","2000","1","SAS","NBA","33","0","207","86","12","26","38","21","4","6","12","22","83","36","21","12","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"dickemi01","2000","1","VAN","NBA","70","0","2618","1142","70","159","229","233","62","27","162","207","1020","425","270","206","230","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"divacvl01","2000","1","SAC","NBA","81","0","2420","974","207","466","673","231","87","93","192","242","755","364","350","242","14","4","8","0","225","86","20","47","67","19","8","12","18","25","80","28","38","29","3","1",
"doleami01","2000","1","ORL","NBA","77","0","1398","490","70","203","273","65","37","41","59","239","527","220","59","50","3","0","4","0","45","12","4","10","14","1","3","0","2","10","16","6","0","0","0","0",
"doolike01","2000","1","LAC","NBA","76","0","1237","449","8","81","89","177","41","11","94","107","362","148","179","125","80","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"douglsh01","2000","1","NJN","NBA","59","0","1094","338","21","53","74","144","36","4","79","93","303","122","115","86","40","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"drewbr01","2000","1","CHI","NBA","48","0","1305","302","12","57","69","185","32","3","68","99","327","124","19","14","105","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"dudlech02","2000","1","PHO","NBA","53","0","613","72","64","119","183","18","14","29","26","111","73","29","36","14","0","0","3","0","26","2","3","4","7","0","1","1","4","1","2","1","0","0","0","0",
"duncati01","2000","1","SAS","NBA","82","0","3174","1820","259","738","997","245","70","192","242","247","1406","702","662","409","27","7","13","0","526","317","54","134","188","49","14","35","50","43","246","120","119","76","1","1",
"edneyty01","2000","1","IND","NBA","24","0","263","106","5","19","24","54","17","0","25","17","91","35","39","35","6","1","2","0","10","4","0","0","0","3","1","0","0","1","7","2","1","0","1","0",
"edwarke01","2000","1","VAN","NBA","46","0","634","160","23","59","82","52","29","8","37","46","170","56","53","43","19","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"eisleho01","2000","1","DAL","NBA","82","0","2426","741","23","174","197","295","99","12","102","218","675","265","126","104","269","107","9","0","194","52","1","11","12","17","5","1","13","18","53","19","4","4","26","10",
"ekeziob01","2000","1","WAS","NBA","29","0","273","101","31","45","76","9","5","5","14","46","77","32","53","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"ekeziob01","2000","2","DAL","NBA","4","0","8","0","0","2","2","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"elamikh01","2000","1","CHI","NBA","50","0","936","314","21","60","81","145","48","2","54","99","311","115","72","56","84","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"eliema01","2000","1","PHO","NBA","68","0","1506","299","38","117","155","131","58","12","60","112","246","104","69","55","100","36","4","0","103","36","2","11","13","7","3","1","2","6","31","14","8","6","13","2",
"elliose01","2000","1","SAS","NBA","52","0","1229","409","17","153","170","81","23","25","51","80","339","147","84","60","129","55","12","0","239","57","3","23","26","14","5","6","13","21","51","19","11","11","22","8",
"ellisla01","2000","1","MIN","NBA","82","0","1948","772","199","295","494","93","67","74","108","290","642","298","214","169","22","7","4","0","77","24","7","7","14","0","1","3","5","13","23","9","8","6","1","0",
"ellispe01","2000","1","SEA","NBA","9","0","40","6","2","10","12","3","0","2","3","13","7","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"eschmev01","2000","1","NJN","NBA","74","0","1331","251","135","231","366","40","41","58","53","220","200","92","102","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"ewingpa01","2000","1","SEA","NBA","79","0","2107","760","124","461","585","92","53","91","151","229","684","294","251","172","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"feickja01","2000","1","NJN","NBA","6","0","149","22","12","44","56","5","8","3","7","15","23","8","12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
