player,position,current_team,college
"Mejri, Salah",Center,Dallas Mavericks,No College
"Monroe, Greg",Center,Milwaukee Bucks,Georgetown
"Mozgov, Timofey",Center,Los Angeles Lakers,No College
"Noah, Joakim",Center,New York Knicks,Florida
"Nogueira, Lucas",Center,Toronto Raptors,No College
"Nurkic, Jusuf",Center,Denver Nuggets,No College
"O'Quinn, Kyle",Center,New York Knicks,Norfolk State
"Okafor, Jahlil",Center,Philadelphia 76ers,Duke
"Olynyk, Kelly",Center,Boston Celtics,Gonzaga
"Pachulia, Zaza",Center,Golden State Warriors,No College
"Papagiannis, Georgios",Center,Sacramento Kings,No College
"Pekovic, Nikola",Center,Minnesota Timberwolves,No College
"Plumlee, Marshall",Center,New York Knicks,Duke
"Plumlee, Mason",Center,Portland Trail Blazers,Duke
"Plumlee, Miles",Center,Milwaukee Bucks,Duke
"Poeltl, Jakob",Center,Toronto Raptors,Utah
"Seraphin, Kevin",Center,Indiana Pacers,No College
"Speights, Marreese",Center,LA Clippers,Florida
"Splitter, Tiago",Center,Atlanta Hawks,No College
"Stone, Diamond",Center,LA Clippers,Maryland
"Sullinger, Jared",Center,Toronto Raptors,Ohio State
"Thompson, Tristan",Center,Cleveland Cavaliers,Texas
"Towns, Karl-Anthony",Center,Minnesota Timberwolves,Kentucky
"Turner, Myles",Center,Indiana Pacers,Texas
"Valanciunas, Jonas",Center,Toronto Raptors,No College
"Varejao, Anderson",Center,Golden State Warriors,No College
"Vucevic, Nikola",Center,Orlando Magic,USC
"Whiteside, Hassan",Center,Miami Heat,Marshall
"Withey, Jeff",Center,Utah Jazz,Kansas
"Zeller, Cody",Center,Charlotte Hornets,Indiana
"Zeller, Tyler",Center,Boston Celtics,North Carolina
"Zimmerman, Stephen",Center,Orlando Magic,UNLV
"Zubac, Ivica",Center,Los Angeles Lakers,No College
