objectid,shape_leng,shape_area,gis_id,featurecod,descriptio,capturedat,captureyea,captureact
158,309.110630374450693,2715.405979053894043,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
159,36.686203004043541,84.664162997408482,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
160,222.240997705362446,2730.710051552083314,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
161,45.366140799051607,125.460058951136091,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
162,215.681433637806492,2876.198724116630274,,3150,Soccer Field,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
163,100.392784271884580,455.904560100248602,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
164,72.162236505394787,284.181898536193330,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
165,66.945968731948426,263.605749011624425,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
166,32.628398807273896,49.976399973970274,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
167,56.761809434564825,199.942626024386072,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
168,50.284779903154487,150.839203510829066,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
169,593.977093131791207,2931.187601524748516,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
170,95.215062745995766,352.780852087430617,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
171,137.265901458523956,1175.863307112697385,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
172,52.156012184702988,161.936162475980439,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
173,238.773147061204327,3165.943462992499917,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
174,92.709591076572096,508.021228021770810,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
175,95.242196006309513,467.898026593884140,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
176,174.761094732925699,1724.430218632611741,,3150,Soccer Field,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
177,81.865757493807635,392.195279954971056,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
178,151.673688957093674,240.895700941534102,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
179,67.694740108416894,277.874206512631247,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
180,94.742408553283951,529.074257405570052,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
181,111.304677707960366,774.407276375151810,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
182,34.125133961034088,56.348503516601042,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
183,72.749496252021743,230.680434498942901,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
184,47.594835562523272,139.242614513420648,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
185,373.968143895927255,6822.492774160221416,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
186,177.590254650440755,1909.390946708175079,,3150,Soccer Field,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
187,279.437796141897195,3912.437964936524622,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
188,549.494195091727647,13284.860325034156631,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
189,173.111235603307392,1613.976319425941711,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
190,63.000936462707109,246.911006009439973,,3110,Basketball Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
191,18.560687281690200,18.733400984192805,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
192,23.736741144917950,34.021053036057694,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
193,42.658474904132227,48.917200991046961,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
194,102.129362127910994,440.213652424463817,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
195,185.648998891847810,2230.317042500995285,,3130,Baseball Field,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
196,233.305555976163220,1095.878547934972403,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
197,53.090490820428464,204.529748512846169,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
198,133.896325272784992,1197.818090595890681,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
199,105.928233531151463,674.620360066655394,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
200,108.723646484245663,652.168312510915143,,3120,Tennis Court,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
201,59.822031764707006,209.187656026441090,,3170,Other Recreational Area,2015-04-24T00:00:00Z,2015-04-24T00:00:00Z,A
